#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AAC42	T6J4.12	3702.Q9C6C2	3702.Q9FX60	0	0	0	0	0.058	0.415	0.307	0.115	0.616
AAC42	F10A5.19	3702.Q9C6C2	3702.Q9LR02	0	0	0	0	0.058	0.415	0.307	0.115	0.616
AAC42	MGH3	3702.Q9C6C2	3702.Q9FXI7	0	0	0	0	0.058	0.415	0.307	0.115	0.616
AAC42	RIN1	3702.Q9C6C2	3702.Q9FMR9	0	0	0	0	0.336	0.164	0	0.370	0.620
AAC42	GTA2	3702.Q9C6C2	3702.Q9STN3	0	0	0	0	0	0.610	0.423	0.206	0.805
AAC42	F17I14.140	3702.Q9C6C2	3702.Q9LXD0	0	0	0	0	0	0.610	0.423	0.206	0.805
AAC42	F22C12.10	3702.Q9C6C2	3702.Q9SH64	0	0	0	0	0	0.610	0.423	0.206	0.805
AAC42	MUB3.7	3702.Q9C6C2	3702.Q9FLG3	0	0	0	0	0	0.610	0.423	0.206	0.805
AAC42	F16M19.22	3702.Q9C6C2	3702.Q9CAM1	0	0	0	0	0	0.741	0.091	0.284	0.816
AAC42	VIP4	3702.Q9C6C2	3702.Q9FNQ0	0	0	0	0	0.064	0.855	0.095	0.073	0.870
AAC42	CDC73	3702.Q9C6C2	3702.Q9LJ87	0	0	0	0	0	0.856	0.095	0.155	0.880
AAC42	VIP5	3702.Q9C6C2	3702.Q9C950	0	0	0	0	0	0.864	0	0.182	0.883
AAC42	Q9LIF6_ARATH	3702.Q9C6C2	3702.Q9LIF6	0.113	0	0	0	0.661	0.884	0.639	0.339	0.990
AAC42	NRPB10L	3702.Q9C6C2	3702.Q9SYA6	0.118	0	0	0	0.533	0.898	0.826	0.524	0.995
AAC42	NRPB8B	3702.Q9C6C2	3702.Q9M1A8	0	0	0	0	0.369	0.902	0.826	0.681	0.996
AAC42	NRPB6A	3702.Q9C6C2	3702.Q9FJ98	0.118	0	0	0	0.677	0.884	0.826	0.641	0.997
AAC42	NRPB6B	3702.Q9C6C2	3702.Q9SJ96	0.118	0	0	0	0.677	0.884	0.826	0.664	0.997
AAC42	NRPA1	3702.Q9C6C2	3702.Q9SVY0	0.113	0	0	0	0.735	0.902	0.826	0.722	0.998
ABA3	ABI2	3702.Q9C5X8	3702.O04719	0	0	0	0	0.080	0	0	0.794	0.802
ABA3	PYR1	3702.Q9C5X8	3702.O49686	0	0	0	0	0	0	0	0.757	0.757
ABA3	DREB2A	3702.Q9C5X8	3702.O82132	0	0	0	0	0.054	0	0	0.398	0.406
ABA3	COR47	3702.Q9C5X8	3702.P31168	0	0	0	0	0	0	0	0.431	0.431
ABA3	AP2	3702.Q9C5X8	3702.P47927	0	0	0	0	0	0	0	0.400	0.400
ABA3	ABI1	3702.Q9C5X8	3702.P49597	0	0	0	0	0.045	0	0	0.821	0.821
ABA3	PP2CA	3702.Q9C5X8	3702.P49598	0	0	0	0	0	0	0	0.540	0.540
ABA3	ABI3	3702.Q9C5X8	3702.Q01593	0	0	0	0	0	0	0	0.794	0.794
ABA3	LTI65	3702.Q9C5X8	3702.Q04980	0	0	0	0	0	0	0	0.740	0.740
ABA3	RD29A	3702.Q9C5X8	3702.Q06738	0	0	0	0	0	0	0	0.785	0.785
ABA3	EM1	3702.Q9C5X8	3702.Q07187	0	0	0	0	0.043	0.047	0	0.432	0.436
ABA3	RD22	3702.Q9C5X8	3702.Q08298	0	0	0	0	0	0	0	0.598	0.598
ABA3	MYB96	3702.Q9C5X8	3702.Q24JK1	0	0	0	0	0	0	0	0.540	0.540
ABA3	SRK2D	3702.Q9C5X8	3702.Q39192	0	0	0	0	0	0	0	0.598	0.598
ABA3	SRK2I	3702.Q9C5X8	3702.Q39193	0	0	0	0	0	0	0	0.481	0.481
ABA3	MYC2	3702.Q9C5X8	3702.Q39204	0	0	0	0	0	0	0	0.400	0.400
ABA3	HKT1	3702.Q9C5X8	3702.Q84TI7	0.078	0	0	0	0	0	0	0.425	0.447
ABA3	MAH20.24	3702.Q9C5X8	3702.Q8LCQ3	0	0	0	0	0	0	0	0.417	0.416
ABA3	NAC072	3702.Q9C5X8	3702.Q93VY3	0	0	0	0	0	0	0	0.485	0.485
ABA3	SRK2E	3702.Q9C5X8	3702.Q940H6	0	0	0	0	0	0	0	0.757	0.757
ABA3	SPT42	3702.Q9C5X8	3702.Q94C60	0	0	0	0	0	0	0	0.417	0.416
ABA3	NHX7	3702.Q9C5X8	3702.Q9LKW9	0.069	0	0	0	0.054	0	0	0.398	0.424
ABA3	CIPK24	3702.Q9C5X8	3702.Q9LDI3	0	0	0	0	0.058	0	0	0.434	0.444
ABA3	HAB1	3702.Q9C5X8	3702.Q9CAJ0	0	0	0	0	0.054	0	0	0.540	0.546
ABA3	ABF2	3702.Q9C5X8	3702.Q9M7Q4	0	0	0	0	0	0	0	0.570	0.570
ABA3	BZIP8	3702.Q9C5X8	3702.Q9CA46	0	0	0	0	0	0	0	0.571	0.571
ABA3	ABF3	3702.Q9C5X8	3702.Q9M7Q3	0	0	0	0	0	0	0	0.572	0.572
ABA3	ABF4	3702.Q9C5X8	3702.Q9M7Q2	0	0	0	0	0	0	0	0.652	0.652
ABA3	ABI5	3702.Q9C5X8	3702.Q9SJN0	0	0	0	0	0.045	0	0	0.794	0.794
ABA3	NCED3	3702.Q9C5X8	3702.Q9LRR7	0	0	0	0	0	0	0	0.900	0.900
ABA3	ZEP	3702.Q9C5X8	3702.Q9FGC7	0	0	0	0	0	0	0.189	0.926	0.937
ABF1	ABI2	3702.Q9M7Q5	3702.O04719	0	0	0	0	0.044	0	0	0.740	0.740
ABF1	NFYB3	3702.Q9M7Q5	3702.O23310	0	0	0	0	0	0	0	0.408	0.408
ABF1	PYR1	3702.Q9M7Q5	3702.O49686	0	0	0	0	0	0	0	0.774	0.774
ABF1	DREB2A	3702.Q9M7Q5	3702.O82132	0	0	0	0	0.072	0	0.047	0.718	0.728
ABF1	ATHB-6	3702.Q9M7Q5	3702.P46668	0	0	0	0	0.046	0	0	0.650	0.651
ABF1	AP2	3702.Q9M7Q5	3702.P47927	0	0	0	0	0	0	0	0.480	0.480
ABF1	ABI1	3702.Q9M7Q5	3702.P49597	0	0	0	0	0.054	0	0	0.785	0.787
ABF1	PP2CA	3702.Q9M7Q5	3702.P49598	0	0	0	0	0.050	0.230	0	0.494	0.597
ABF1	ABI3	3702.Q9M7Q5	3702.Q01593	0	0	0	0	0	0	0	0.873	0.873
ABF1	EM6	3702.Q9M7Q5	3702.Q02973	0	0	0	0	0	0.051	0.050	0.597	0.604
ABF1	LTI65	3702.Q9M7Q5	3702.Q04980	0	0	0	0	0	0	0	0.759	0.759
ABF1	RD29A	3702.Q9M7Q5	3702.Q06738	0	0	0	0	0.098	0	0	0.757	0.771
ABF1	EM1	3702.Q9M7Q5	3702.Q07187	0	0	0	0	0	0.051	0.050	0.666	0.672
ABF1	RD22	3702.Q9M7Q5	3702.Q08298	0	0	0	0	0	0	0	0.544	0.544
ABF1	SRK2D	3702.Q9M7Q5	3702.Q39192	0	0	0	0	0.107	0.230	0.650	0.794	0.943
ABF1	SRK2I	3702.Q9M7Q5	3702.Q39193	0	0	0	0	0.094	0.230	0.650	0.868	0.963
ABF1	COR15A	3702.Q9M7Q5	3702.Q42512	0	0	0	0	0.081	0	0	0.540	0.559
ABF1	NAC072	3702.Q9M7Q5	3702.Q93VY3	0	0	0	0	0.042	0	0	0.482	0.482
ABF1	SRK2E	3702.Q9M7Q5	3702.Q940H6	0	0	0	0	0.050	0	0.650	0.877	0.955
ABF1	WRKY18	3702.Q9M7Q5	3702.Q9C5T4	0	0	0	0	0	0	0	0.400	0.400
ABF1	BZIP8	3702.Q9M7Q5	3702.Q9CA46	0	0	0	0	0	0	0	0.827	0.827
ABF1	HAB1	3702.Q9M7Q5	3702.Q9CAJ0	0	0	0	0	0	0	0	0.638	0.638
ABF1	ZEP	3702.Q9M7Q5	3702.Q9FGC7	0	0	0	0	0	0	0	0.409	0.408
ABF1	SAG113	3702.Q9M7Q5	3702.Q9FIF5	0	0	0	0	0	0	0	0.543	0.543
ABF1	KEG	3702.Q9M7Q5	3702.Q9FY48	0	0	0	0	0	0.300	0.047	0.790	0.847
ABF1	NCED3	3702.Q9M7Q5	3702.Q9LRR7	0	0	0	0	0.057	0	0	0.541	0.548
ABF1	DREB1A	3702.Q9M7Q5	3702.Q9M0L0	0	0	0	0	0.208	0	0	0.545	0.624
ABF1	DRIP1	3702.Q9M7Q5	3702.Q9M9Y4	0	0	0	0	0	0	0	0.432	0.432
ABF1	DREB1C	3702.Q9M7Q5	3702.Q9SYS6	0	0	0	0	0.101	0	0	0.474	0.506
ABF1	ABI5	3702.Q9M7Q5	3702.Q9SJN0	0	0	0.098	0.772	0.048	0.369	0	0.236	0.530
ABF1	RAV1	3702.Q9M7Q5	3702.Q9ZWM9	0	0	0	0	0.069	0	0	0.548	0.561
ABF1	BZIP28	3702.Q9M7Q5	3702.Q9SG86	0	0	0	0	0	0	0	0.573	0.573
ABF2	NAC016	3702.Q9M7Q4	3702.A4FVP6	0	0	0	0	0	0	0	0.784	0.784
ABF2	NAC098	3702.Q9M7Q4	3702.O04017	0	0	0	0	0	0.162	0	0.540	0.598
ABF2	ABI2	3702.Q9M7Q4	3702.O04719	0	0	0	0	0.067	0	0	0.794	0.799
ABF2	PXG3	3702.Q9M7Q4	3702.O22788	0	0	0	0	0.044	0	0	0.719	0.720
ABF2	PYR1	3702.Q9M7Q4	3702.O49686	0	0	0	0	0	0	0	0.806	0.806
ABF2	DREB2A	3702.Q9M7Q4	3702.O82132	0	0	0	0	0	0.292	0.047	0.943	0.958
ABF2	COR47	3702.Q9M7Q4	3702.P31168	0	0	0	0	0	0	0	0.719	0.719
ABF2	ERD10	3702.Q9M7Q4	3702.P42759	0	0	0	0	0.062	0	0	0.433	0.445
ABF2	CLPD	3702.Q9M7Q4	3702.P42762	0	0	0	0	0	0	0	0.540	0.540
ABF2	AP2	3702.Q9M7Q4	3702.P47927	0	0	0	0	0	0	0	0.718	0.718
ABF2	ABI1	3702.Q9M7Q4	3702.P49597	0	0	0	0	0.073	0.230	0	0.885	0.910
ABF2	PP2CA	3702.Q9M7Q4	3702.P49598	0	0	0	0	0.100	0.474	0	0.785	0.889
ABF2	ABI3	3702.Q9M7Q4	3702.Q01593	0	0	0	0	0	0	0	0.785	0.785
ABF2	EM6	3702.Q9M7Q4	3702.Q02973	0	0	0	0	0	0.051	0.050	0.540	0.549
ABF2	LTI65	3702.Q9M7Q4	3702.Q04980	0	0	0	0	0	0	0	0.890	0.890
ABF2	RD29A	3702.Q9M7Q4	3702.Q06738	0	0	0	0	0.044	0	0	0.881	0.881
ABF2	EM1	3702.Q9M7Q4	3702.Q07187	0	0	0	0	0	0.051	0.050	0.459	0.469
ABF2	RD22	3702.Q9M7Q4	3702.Q08298	0	0	0	0	0.048	0	0	0.791	0.792
ABF2	MYB96	3702.Q9M7Q4	3702.Q24JK1	0	0	0	0	0.064	0	0	0.400	0.414
ABF2	NAC002	3702.Q9M7Q4	3702.Q39013	0	0	0	0	0	0	0	0.775	0.775
ABF2	Atmyb2	3702.Q9M7Q4	3702.Q39028	0	0	0	0	0.064	0	0	0.817	0.821
ABF2	SRK2D	3702.Q9M7Q4	3702.Q39192	0	0	0	0	0.050	0.230	0.650	0.927	0.978
ABF2	SRK2I	3702.Q9M7Q4	3702.Q39193	0	0	0	0	0.050	0	0.650	0.809	0.930
ABF2	MYC2	3702.Q9M7Q4	3702.Q39204	0	0	0	0	0	0	0	0.695	0.695
ABF2	COR15A	3702.Q9M7Q4	3702.Q42512	0	0	0	0	0	0	0	0.635	0.635
ABF2	HSFA3	3702.Q9M7Q4	3702.Q8GYY1	0	0	0	0	0	0	0	0.400	0.400
ABF2	NAC072	3702.Q9M7Q4	3702.Q93VY3	0	0	0	0	0	0	0	0.793	0.793
ABF2	SRK2E	3702.Q9M7Q4	3702.Q940H6	0	0	0	0	0.050	0.625	0.650	0.890	0.984
ABF2	ACT2	3702.Q9M7Q4	3702.Q96292	0	0	0	0	0	0	0	0.431	0.431
ABF2	HAG1	3702.Q9M7Q4	3702.Q9AR19	0	0	0	0	0.050	0	0	0.488	0.492
ABF2	WRKY18	3702.Q9M7Q4	3702.Q9C5T4	0	0	0	0	0	0	0	0.540	0.540
ABF2	WRKY63	3702.Q9M7Q4	3702.Q9C6H5	0	0	0	0	0	0	0	0.739	0.739
ABF2	NAC019	3702.Q9M7Q4	3702.Q9C932	0	0	0	0	0.079	0	0	0.719	0.730
ABF2	BZIP8	3702.Q9M7Q4	3702.Q9CA46	0	0	0	0	0	0	0	0.898	0.898
ABF2	HAB1	3702.Q9M7Q4	3702.Q9CAJ0	0	0	0	0	0.112	0	0	0.795	0.810
ABF2	MYB44	3702.Q9M7Q4	3702.Q9FDW1	0	0	0	0	0.064	0	0	0.410	0.424
ABF2	ZEP	3702.Q9M7Q4	3702.Q9FGC7	0	0	0	0	0.058	0	0	0.663	0.668
ABF2	SAG113	3702.Q9M7Q4	3702.Q9FIF5	0	0	0	0	0.057	0	0	0.698	0.703
ABF2	NAC055	3702.Q9M7Q4	3702.Q9LDY8	0	0	0	0	0.079	0	0	0.719	0.730
ABF2	AIP1	3702.Q9M7Q4	3702.Q9LNW3	0	0	0	0	0.062	0	0	0.719	0.725
ABF2	NCED3	3702.Q9M7Q4	3702.Q9LRR7	0	0	0	0	0.063	0	0	0.792	0.796
ABF2	NAC096	3702.Q9M7Q4	3702.Q9LS24	0	0	0	0	0	0	0	0.968	0.968
ABF2	MYB15	3702.Q9M7Q4	3702.Q9LTC4	0	0	0	0	0.064	0	0	0.400	0.414
ABF2	HSFA6b	3702.Q9M7Q4	3702.Q9LUH8	0	0	0	0	0	0	0	0.540	0.540
ABF2	DREB1A	3702.Q9M7Q4	3702.Q9M0L0	0	0	0	0	0.099	0.292	0	0.968	0.977
ABF2	ABF3	3702.Q9M7Q4	3702.Q9M7Q3	0	0	0.083	0.875	0.087	0.450	0	0.152	0.557
ABF2	WRKY40	3702.Q9M7Q4	3702.Q9SAH7	0	0	0	0	0	0	0	0.434	0.434
ABF2	ZHD11	3702.Q9M7Q4	3702.Q9SEZ1	0	0	0	0	0	0	0	0.541	0.541
ABF2	ABI5	3702.Q9M7Q4	3702.Q9SJN0	0	0	0	0.788	0	0.166	0	0.507	0.571
ABF2	DREB1C	3702.Q9M7Q4	3702.Q9SYS6	0	0	0	0	0.080	0	0	0.629	0.644
ABF3	NAC016	3702.Q9M7Q3	3702.A4FVP6	0	0	0	0	0	0	0	0.403	0.403
ABF3	ABI2	3702.Q9M7Q3	3702.O04719	0	0	0	0	0.099	0	0	0.785	0.798
ABF3	PXG3	3702.Q9M7Q3	3702.O22788	0	0	0	0	0.122	0	0	0.697	0.723
ABF3	PYR1	3702.Q9M7Q3	3702.O49686	0	0	0	0	0	0	0	0.779	0.779
ABF3	DREB2A	3702.Q9M7Q3	3702.O82132	0	0	0	0	0	0	0.047	0.874	0.874
ABF3	COR47	3702.Q9M7Q3	3702.P31168	0	0	0	0	0.060	0	0	0.540	0.549
ABF3	ERD10	3702.Q9M7Q3	3702.P42759	0	0	0	0	0.079	0	0	0.437	0.459
ABF3	ATHB-6	3702.Q9M7Q3	3702.P46668	0	0	0	0	0.048	0	0	0.549	0.552
ABF3	ATHB-7	3702.Q9M7Q3	3702.P46897	0	0	0	0	0.266	0	0	0.698	0.768
ABF3	AP2	3702.Q9M7Q3	3702.P47927	0	0	0	0	0	0	0	0.600	0.600
ABF3	ABI1	3702.Q9M7Q3	3702.P49597	0	0	0	0	0.114	0.230	0	0.796	0.848
ABF3	PP2CA	3702.Q9M7Q3	3702.P49598	0	0	0	0	0.177	0.230	0	0.699	0.792
ABF3	P5CSA	3702.Q9M7Q3	3702.P54887	0	0	0	0	0.089	0	0	0.599	0.619
ABF3	ABI3	3702.Q9M7Q3	3702.Q01593	0	0	0	0	0	0	0	0.791	0.791
ABF3	EM6	3702.Q9M7Q3	3702.Q02973	0	0	0	0	0	0.051	0.050	0.590	0.598
ABF3	LTI65	3702.Q9M7Q3	3702.Q04980	0	0	0	0	0.103	0	0	0.881	0.888
ABF3	RD29A	3702.Q9M7Q3	3702.Q06738	0	0	0	0	0.057	0	0	0.810	0.813
ABF3	EM1	3702.Q9M7Q3	3702.Q07187	0	0	0	0	0	0.051	0.050	0.576	0.584
ABF3	RD22	3702.Q9M7Q3	3702.Q08298	0	0	0	0	0.057	0	0	0.790	0.793
ABF3	NAC002	3702.Q9M7Q3	3702.Q39013	0	0	0	0	0.061	0	0	0.540	0.549
ABF3	Atmyb2	3702.Q9M7Q3	3702.Q39028	0	0	0	0	0.064	0	0	0.638	0.646
ABF3	SRK2D	3702.Q9M7Q3	3702.Q39192	0	0	0	0	0.050	0.450	0.650	0.870	0.973
ABF3	SRK2I	3702.Q9M7Q3	3702.Q39193	0	0	0	0	0.050	0.230	0.650	0.785	0.937
ABF3	MYC2	3702.Q9M7Q3	3702.Q39204	0	0	0	0	0.050	0	0	0.714	0.716
ABF3	COR15A	3702.Q9M7Q3	3702.Q42512	0	0	0	0	0	0	0	0.482	0.482
ABF3	NAC072	3702.Q9M7Q3	3702.Q93VY3	0	0	0	0	0.100	0	0	0.791	0.803
ABF3	SRK2E	3702.Q9M7Q3	3702.Q940H6	0	0	0	0	0.057	0.292	0.650	0.795	0.945
ABF3	NAC019	3702.Q9M7Q3	3702.Q9C932	0	0	0	0	0.079	0	0	0.599	0.614
ABF3	BZIP8	3702.Q9M7Q3	3702.Q9CA46	0	0	0	0	0	0	0	0.897	0.897
ABF3	HAB1	3702.Q9M7Q3	3702.Q9CAJ0	0	0	0	0	0.251	0	0	0.760	0.812
ABF3	MYB44	3702.Q9M7Q3	3702.Q9FDW1	0	0	0	0	0.064	0	0	0.402	0.416
ABF3	ZEP	3702.Q9M7Q3	3702.Q9FGC7	0	0	0	0	0.053	0	0	0.490	0.496
ABF3	SAG113	3702.Q9M7Q3	3702.Q9FIF5	0	0	0	0	0.202	0	0	0.656	0.713
ABF3	GOLS2	3702.Q9M7Q3	3702.Q9FXB2	0	0	0	0	0.177	0	0	0.371	0.460
ABF3	KEG	3702.Q9M7Q3	3702.Q9FY48	0	0	0	0	0	0.300	0.047	0.864	0.901
ABF3	NAC055	3702.Q9M7Q3	3702.Q9LDY8	0	0	0	0	0.079	0	0	0.695	0.707
ABF3	AIP1	3702.Q9M7Q3	3702.Q9LNW3	0	0	0	0	0.084	0	0	0.474	0.497
ABF3	NCED3	3702.Q9M7Q3	3702.Q9LRR7	0	0	0	0	0.112	0	0	0.792	0.807
ABF3	NAC096	3702.Q9M7Q3	3702.Q9LS24	0	0	0	0	0	0	0	0.542	0.542
ABF3	DREB1A	3702.Q9M7Q3	3702.Q9M0L0	0	0	0	0	0.106	0	0	0.867	0.876
ABF3	SDIR1	3702.Q9M7Q3	3702.Q9M2S6	0	0	0	0	0	0	0	0.719	0.719
ABF3	ABF4	3702.Q9M7Q3	3702.Q9M7Q2	0	0	0	0.905	0.093	0.450	0	0.128	0.527
ABF3	DRIP1	3702.Q9M7Q3	3702.Q9M9Y4	0	0	0	0	0	0	0	0.431	0.431
ABF3	ABI5	3702.Q9M7Q3	3702.Q9SJN0	0	0	0	0.731	0	0.450	0	0.277	0.585
ABF4	ABI2	3702.Q9M7Q2	3702.O04719	0	0	0	0	0.046	0	0	0.801	0.802
ABF4	PXG3	3702.Q9M7Q2	3702.O22788	0	0	0	0	0	0	0	0.548	0.548
ABF4	PYR1	3702.Q9M7Q2	3702.O49686	0	0	0	0	0	0	0	0.793	0.793
ABF4	DREB2A	3702.Q9M7Q2	3702.O82132	0	0	0	0	0.042	0.230	0.047	0.876	0.901
ABF4	CAM1	3702.Q9M7Q2	3702.P0DH95	0	0	0	0	0	0.162	0	0.319	0.404
ABF4	CML10	3702.Q9M7Q2	3702.P30187	0	0	0	0	0	0.162	0	0.320	0.405
ABF4	COR47	3702.Q9M7Q2	3702.P31168	0	0	0	0	0.045	0	0	0.599	0.600
ABF4	ERD10	3702.Q9M7Q2	3702.P42759	0	0	0	0	0	0	0	0.402	0.402
ABF4	CLPD	3702.Q9M7Q2	3702.P42762	0	0	0	0	0.048	0	0	0.547	0.550
ABF4	AP2	3702.Q9M7Q2	3702.P47927	0	0	0	0	0	0	0	0.636	0.636
ABF4	ABI1	3702.Q9M7Q2	3702.P49597	0	0	0	0	0.063	0	0	0.826	0.829
ABF4	PP2CA	3702.Q9M7Q2	3702.P49598	0	0	0	0	0.048	0.230	0	0.758	0.807
ABF4	P5CSA	3702.Q9M7Q2	3702.P54887	0	0	0	0	0	0	0	0.540	0.540
ABF4	CAM7	3702.Q9M7Q2	3702.P59220	0	0	0	0	0	0.162	0	0.320	0.405
ABF4	ABI3	3702.Q9M7Q2	3702.Q01593	0	0	0	0	0	0	0	0.868	0.868
ABF4	EM6	3702.Q9M7Q2	3702.Q02973	0	0	0	0	0	0.051	0.050	0.635	0.642
ABF4	CAM6	3702.Q9M7Q2	3702.Q03509	0	0	0	0	0	0.162	0	0.328	0.412
ABF4	LTI65	3702.Q9M7Q2	3702.Q04980	0	0	0	0	0.042	0	0	0.825	0.825
ABF4	RD29A	3702.Q9M7Q2	3702.Q06738	0	0	0	0	0.043	0	0	0.881	0.881
